Film name,comment
10 Things I Hate About You,Tôi đã cảm nhận sâu sắc tình yêu trong phim này. Câu chuyện tình yêu trong phim thật sự đặc biệt.
After ,Phim tình cảm hoàn hảo cho mùa Valentine. Phim này có câu chuyện tình yêu rất đẹp.
500 Days of Summer,Một bộ phim tình cảm đầy cảm động và thú vị. Tình cảm trong phim thật sâu sắc và đáng nhớ.
Aashiqui,Hãy xem và bạn sẽ tin vào tình yêu. Những tình huống tình cảm trong phim khiến tôi suy tư nhiều.
Aashiqui 2,Một phim tình cảm không thể bỏ lỡ. Không thể nào quên được câu chuyện tình yêu này.
About Time,Cốt truyện phim đã chạm vào sâu trong trái tim tôi. Tôi đã gặp một bộ phim tình cảm không thể quên.
Across the Universe,Tôi đã xem lại phim này hàng chục lần. Phim tình cảm này thực sự đáng xem lặp đi lặp lại.
An Affair to Remember,Phim này đã thúc đẩy tôi tìm kiếm tình yêu đích thực. Tình yêu là một điều kỳ diệu và phim này đã nắm bắt được điều đó.
The Age of Adaline,Tình yêu trong phim này làm tôi tin vào tình yêu vĩnh cửu. Phim này đã thúc đẩy tôi tìm kiếm tình yêu đích thực.
The Age of Innocence,Phim tình cảm hoàn hảo cho buổi tối cuối tuần. Phim này đặt ra nhiều câu hỏi về tình yêu và cuộc sống.
All That Heaven Allows,Tình yêu là một điều kỳ diệu và phim này đã nắm bắt được điều đó. Phim tình cảm này đúng là món quà cho người yêu phim.
Amelie,Hãy xem và bạn sẽ biết tại sao phim này được đánh giá cao. Diễn viên đã thể hiện tình cảm một cách xuất sắc.
Angel Eyes,Phim tình cảm đáng xem lặp đi lặp lại. Không thể nào tả hết sự cảm động của phim này.
Annie Hall,Tôi không thể đợi để chia sẻ về phim này với bạn bè. Nó đã làm cho tôi nhớ về những khoảnh khắc tình yêu đẹp đẽ.
An Officer and a Gentleman,Tôi đã xem lại nhiều lần và vẫn yêu nó như lần đầu. Tôi đã xem phim này mỗi khi tôi cảm thấy buồn.
The Anonymous Venetian,Các diễn viên đã tạo nên một cặp đôi hoàn hảo. Tôi đã xem lại phim này hàng chục lần.
The Artist,Phim này thể hiện rằng tình yêu có thể xuất phát từ những tình huống bất ngờ. Không gì so sánh được với tình yêu trong phim này.
At Cafe 6,Một trong những bộ phim tình cảm xuất sắc nhất mà tôi từng xem. Tôi đã khuyến nghị phim này cho tất cả bạn bè của mình.
Autumn in New York,Câu chuyện tình yêu trong phim này đầy cảm động. Không thể nào tả hết sự đẹp đẽ của phim này.
Band Baaja Baaraat,Nó thể hiện tình yêu ở nhiều khía cạnh khác nhau. Phim tình cảm này thực sự đáng xem lặp đi lặp lại.
Be Together,Tôi đã xem phim này mỗi khi tôi cảm thấy buồn. Tôi muốn chia sẻ bộ phim này với những người tôi yêu quý.
Beautiful Thing,Tôi đã thấy tình yêu thật sự trong mỗi cảnh của phim. Tôi thích cách phim này giữ cho tình yêu trở nên thú vị.
Beauty and the Beast,Một câu chuyện tình yêu đẹp và đáng nhớ. Câu chuyện tình yêu này sẽ ở lại với bạn mãi mãi.
Before Midnight,Tình yêu trong phim này là nguồn cảm hứng vĩnh viễn. Một bộ phim tình cảm thú vị và cảm động.
Before Sunrise,Nó đã cho thấy rằng tình yêu không có quy tắc cố định. Nó đã làm cho tôi tin vào tình yêu đích thực.
Before Sunset,Phim này thật đặc sắc về tình yêu. Phim tình cảm này đúng là món quà cho người yêu phim.
The Beloved,Cốt truyện tình cảm trong phim rất xúc động. Tôi đã bị cuốn hút bởi tình yêu của họ từ đầu đến cuối.
The Best of Me,Tôi đã hòa mình hoàn toàn vào câu chuyện tình trong phim. Tôi đã cảm nhận được sự ngọt ngào và đắm say của tình yêu trong phim.
Beyond Borders,Tình yêu trong phim này thật tinh tế và chân thành. Tôi đã gặp một bộ phim tình cảm không thể quên.
Beyond the Lights,Cảm ơn các diễn viên đã mang lại câu chuyện tình yêu tuyệt vời này. Phim này có câu chuyện tình yêu rất đẹp.
Big Red Envelope,Hãy xem và bạn sẽ biết tại sao tôi yêu nó. Tôi yêu cả diễn viên lẫn kịch bản của phim này.
Bitter Love,Tôi yêu mọi khoảnh khắc tình yêu trong phim này. Phim này thể hiện rằng tình yêu có thể xuất phát từ những tình huống bất ngờ.
Blue is the Warmest Colour,Một trong những bộ phim tình cảm tốt nhất mà tôi từng xem. Tôi yêu cảm xúc trong phim này.
Blue Valentine,Những cảnh quay tình yêu đẹp mắt là điểm đặc biệt của bộ phim. Phim tình cảm đáng xem lặp đi lặp lại.
Blood Ransom,Phim tình cảm đẹp như mơ. Phim này đã thay đổi cuộc sống của tôi.
Bobby,Một bộ phim tình cảm đáng xem. Phim tình cảm hoàn hảo cho mùa Valentine.
Bounce,Tôi yêu cảm xúc trong phim này. Phim tình cảm hoàn hảo cho ngày mưa gió.
The Break-up Season,Tình cảm trong phim thật sâu sắc và đáng nhớ. Tôi không thể đợi để xem phim này với người yêu của mình.
Breakfast at Tiffany's,Một bộ phim tình cảm thú vị và cảm động. Bộ phim này đã tạo ra một cảm giác ấm áp và độc đáo.
The Bridges of Madison County,Phim tình cảm hoàn hảo cho ngày Valentine. Tôi đã tìm thấy trong phim một phần của chính mình.
Brief Encounter,Không thể tin được cảm xúc mà phim mang lại. Phim này đã chạm vào trái tim của tôi.
Brokeback Mountain,Cảm ơn các diễn viên đã mang lại câu chuyện tình yêu tuyệt vời này. Tôi đã khuyến nghị phim này cho tất cả bạn bè của mình.
Call Me by Your Name (film),Tôi yêu cảm xúc trong phim này. Bộ phim này là một hành trình đầy cảm xúc về tình yêu.
Camille,Những cảnh tình yêu là điểm đặc biệt của bộ phim. Không thể nào tả hết sự cảm động của phim này.
Casablanca,Những cảnh quay tình yêu đẹp mắt là điểm đặc biệt của bộ phim. Một trong những bộ phim tình cảm xuất sắc nhất mà tôi từng xem.
Charlie St. Cloud,Phim này đã thay đổi cách tôi nghĩ về tình yêu. Cốt truyện phim đã đưa ra nhiều cơ hội để suy ngẫm về tình yêu.
Chandani,Phim này là một bản tình ca đẹp. Tôi không thể nhịn nước mắt khi xem phim này.
Cherish in Love,Tôi yêu cả diễn viên lẫn kịch bản của phim này. Không thể nào bỏ lỡ phim này.
The Choice,Tôi không thể tin được tôi đã phải chờ đợi lâu để xem phim này. Tôi đã xem phim này mỗi khi tôi cảm thấy buồn.
City Lights,Câu chuyện tình yêu trong phim này đầy cảm động. Tôi yêu câu chuyện tình yêu trong phim này.
City of Angels,Phim tình cảm này thực sự đáng xem lặp đi lặp lại. Nó đã khắc sâu trong trí nhớ của tôi.
Close Range Love,Tình yêu trong phim này thật sâu và đầy cảm xúc. Phim này đã thúc đẩy tôi tìm hiểu thêm về tình yêu đích thực.
Closer,Những tình huống tình cảm đã tạo nên những kỷ niệm đáng nhớ. Tôi đã cảm nhận được tình yêu đích thực qua từng giây phút của phim.
Crazy Rich Asians,Không thể nào tả được cảm xúc khi xem phim này. Tôi đã bị cuốn hút bởi tình yêu của họ từ đầu đến cuối.
Dawn Break Up,Tôi đã gặp một bộ phim tình cảm tuyệt vời. Hãy xem phim này nếu bạn muốn biết tại sao tôi yêu nó.
Dear John,Tình yêu trong phim này là nguồn cảm hứng vĩnh viễn. Phim này đã thúc đẩy tôi tìm hiểu thêm về tình yêu đích thực.
Devdas,Cười và khóc suốt từ đầu đến cuối. Tôi đã học được rất nhiều về tình yêu từ phim này.
Different from the Others,Tôi đã gặp một khoản thời gian tuyệt vời xem phim này. Phim này thể hiện rằng tình yêu có thể vượt qua mọi khó khăn.
Dil Se..,Tôi đã gặp một bộ phim tình cảm rất đặc biệt. Diễn viên đã tạo ra một chemistry đặc biệt trên màn ảnh.
Dil To Pagal Hai,Tôi thấy mình như đang sống trong thế giới của nhân vật chính. Tôi đã cảm nhận sự sâu lắng của tình yêu qua mỗi khung hình.
Dilwale Dulhania Le Jayenge,Phim tình cảm hoàn hảo cho các đôi tình nhân. Phim này đã thay đổi cách tôi nhìn nhận tình yêu.
Dirty Dancing,Bản nhạc phim đã tạo nên một bầu không khí lãng mạn tuyệt vời. Phim này thể hiện rằng tình yêu có thể xuất phát từ những tình huống bất ngờ.
Dirty Dancing: Havana Nights,Phim này đã thay đổi cách tôi nhìn nhận tình yêu. Phim này đã chạm vào trái tim tôi một cách sâu sắc.
Doctor Zhivago,Nó đã cho thấy rằng tình yêu không có quy tắc cố định. Cảnh quay tại các địa điểm đẹp làm tăng thêm sự lãng mạn của phim.
Dying Young,Phim này đã thúc đẩy tôi tìm kiếm tình yêu đích thực. Phim tình cảm này đã để lại ấn tượng mạnh mẽ với tôi.
The Earrings of Madame de...,Cảm xúc tràn đầy từ đầu đến cuối. Hãy xem và bạn sẽ biết tại sao nó lại nổi tiếng.
Edward Scissorhands,Phim này làm tôi tin vào tình yêu là một điều kỳ diệu. Phim tình cảm này đã đánh thức trái tim tôi.
Elemental,Cảm xúc tràn đầy từ đầu đến cuối. Phim tình cảm hoàn hảo cho mọi độ tuổi.
Endless Love,Cảnh quay tại các địa điểm đẹp làm tăng thêm sự lãng mạn của phim. Tình cảm trong phim thật sự sâu sắc và xúc động.
Endless Love,Phim này khiến tôi tin vào tình yêu đích thực. Tôi không thể nhịn nước mắt khi xem phim này.
The Eighth House,Những tình huống tình cảm đã tạo nên những kỷ niệm đáng nhớ. Tôi muốn có một mối tình như trong phim này.
Embrace Again,Tình yêu trong phim này là nguồn cảm hứng vĩnh viễn. Tôi đã cảm thấy như mình đang trải qua tình yêu đích thực.
The English Patient,Không thể nào tả hết sự cảm động của phim này. Phim này làm tôi tin vào tình yêu là một điều kỳ diệu.
Eternal Sunshine of the Spotless Mind,Tôi đã cảm nhận được tình yêu đích thực qua từng giây phút của phim. Tôi muốn có một mối tình như trong phim này.
Ex Fighting,Không thể tin được cảm xúc mà phim mang lại. Không thể nào bỏ lỡ phim này.
Fall in Love Like a Star,Tôi đã gặp một bộ phim tình cảm không thể quên. Diễn viên đã tạo ra một chemistry đặc biệt trên màn ảnh.
Falling In Love,Câu chuyện tình yêu trong phim thật sự đặc biệt. Phim này làm tôi tin rằng tình yêu là một điều kỳ diệu.
Fanaa,Cười và khóc suốt từ đầu đến cuối. Tôi đã thấy mình trái qua mọi cảm xúc của tình yêu qua bộ phim này.
The Fault in Our Stars,Không thể nào quên được câu chuyện tình yêu này. Phim này làm tôi tin vào tình yêu đích thực.
Fifty Shades of Grey,Tôi đã cảm nhận sự sâu lắng của tình yêu qua mỗi khung hình. Tôi thích cách phim này kể về mối tình đẹp.
Five Minutes to Tomorrow,Phim này đã thay đổi cách tôi nhìn nhận tình yêu. Tình cảm trong phim thật sự sâu sắc và xúc động.
Fleet of Time,Bộ phim này làm cho tôi nhớ đến tình yêu của mình. Tôi không thể không bật khóc khi xem phim này.
Flower's Curse,Tôi đã cảm nhận được sự ngọt ngào và đắm say của tình yêu trong phim. Phim này có câu chuyện tình yêu rất đẹp.
Forever Love,Những cảnh tình yêu là điểm đặc biệt nhất của bộ phim. Bộ phim này đã thay đổi cách tôi nghĩ về tình yêu.
Forever Young,Những câu thoại tình cảm thật sự lôi cuốn. Phim tình cảm này đã để lại ấn tượng mạnh mẽ với tôi.
Forget All Remember,Tôi đã thấy mình sống lại những kỷ niệm của mình qua phim. Những tình tiết tình cảm đầy bất ngờ.
Friends with Benefits,Tôi tin rằng tình yêu đích thực có thể vượt qua mọi khó khăn. Tôi đã vui cười và khóc khi xem bộ phim này.
From Prada to Nada 2011,Tôi không thể đợi để chia sẻ về phim này với bạn bè. Hãy xem và bạn sẽ tin vào tình yêu.
Fitoor,Một phim tình cảm không thể bỏ lỡ. Tôi đã cảm nhận được sự ngọt ngào và đắm say của tình yêu trong phim.
Five Feet Apart,Một bộ phim tình cảm đáng xem. Tình yêu là một điều kỳ diệu và phim này đã nắm bắt được điều đó.
The Glass Mountain,"Nếu bạn muốn một câu chuyện tình yêu đẹp, đây là phim dành cho bạn. Không thể nào nói đủ về sự đẹp của phim này."
Gone with the Wind,Tôi đã bị lôi cuốn vào thế giới tình yêu của phim từ đầu đến cuối. Tình yêu trong phim này thật đáng yêu.
The Goodbye Girl,Phim này khiến tôi tin vào tình yêu đích thực. Tôi thích cách phim này giữ cho tình yêu trở nên thú vị.
Griffin and Phoenix,Tôi đã khuyến nghị phim này cho tất cả bạn bè của mình. Không thể nào nói đủ về sự đẹp của phim này.
Griffin & Phoenix,Câu chuyện tình yêu trong phim thật tuyệt vời. Những cảnh tình yêu là điểm đặc biệt của bộ phim.
Hanamizuki,Cách phim này kể về tình yêu khiến tôi cảm thấy thật gần gũi. Tôi đã cười và khóc khi xem phim này.
Here on Earth (film),Tôi tin rằng tình yêu đích thực có thể vượt qua mọi khó khăn. Tôi thích cách phim này kể về mối tình đẹp.
Holiday,Bản nhạc phim làm tăng thêm sự lãng mạn của nó. Tôi đã thấy tình yêu thật sự trong mỗi cảnh của phim.
Hello,Tôi đã cảm nhận sự sâu lắng của tình yêu qua mỗi khung hình. Một bộ phim tình cảm đầy cảm động và thú vị.
